SKU,Product Name,Category,Location(s),Average Cost,Total Stock,On Order,Stock Min,Stock Max,Discontinued,hidden carton qty,hidden outer qty,hidden barcode unit,hidden barcode outer,hidden barcode carton
77MR10-NP,77 Medium Nicotine Pouches [Raspberry Ice / 10.4mg],Nicotine Pouches,ELECTRA G22-G9  MEZ-ASTON Z2-K2  WITTON TRADE C6-C11,1.15,-1,400,7,15,N,200,10,5905591987882,5907053700121,
77MRO10-NP,77 Medium Nicotine Pouches [Rosemary / 10.4mg],Nicotine Pouches,ELECTRA G22-G10  MEZ-ASTON Z2-L2  WITTON TRADE C6-A1,1.18,10,100,1,1,N,200,10,5906670986567,5907053701234,
77MRV10-NP,77 Medium Nicotine Pouches [Raspberry & Vanilla / 10.4mg],Nicotine Pouches,ELECTRA G22-G8  MEZ-ASTON Z2-M2  WITTON TRADE C6-G8,1.15,-47,400,1,1,N,200,10,5905591989138,5907053702590,
77MS10-NP,77 Medium Nicotine Pouches [Strawberry / 10.4mg],Nicotine Pouches,ELECTRA G22-G12  MEZ-ASTON Z2-N2  WITTON TRADE C6-D4,1.15,0,200,1,1,N,200,10,5905591987899,5907053700091,
77MSC10-NP,77 Medium Nicotine Pouches [Salted Carmel / 10.4mg],Nicotine Pouches,ELECTRA G22-G11  MEZ-ASTON Z2-A1  WITTON TRADE C6-G1,1.18,-18,200,1,1,N,200,10,5906670983221,5906670988097,
77MTM10-NP,Tropical Mint 77 Nicotine Pouches [10.4mg],Nicotine Pouches,,0.00,0,0,5,100,Y,200,10,,,
77MVT10-NP,77 Medium Nicotine Pouches [Vanilla Tobacco / 10.4mg],Nicotine Pouches,ELECTRA G22-H1  MEZ-ASTON Z2-B1  WITTON TRADE C6-H4,1.18,0,100,20,40,N,200,10,5906670986581,5907053701197,
77MWI10-NP,77 Medium Nicotine Pouches [Watermelon Ice / 10.4mg],Nicotine Pouches,ELECTRA G22-H2  MEZ-ASTON Z2-C1  WITTON TRADE C4-M3,1.15,0,400,23,45,N,200,10,5905591987912,5906670986857,
77VBELAB5-NP,77 VB Edition Light Nicotine Pouches [Arctic Berry / 5.2mg],Nicotine Pouches,ELECTRA G22-H3  ELECTRA G23-S1  MEZ-ASTON Z2-D1  WITTON TRADE C10-A5,1.15,183,0,1,1,N,200,10,5905591988070,5907053702958,
77VBELAM5-NP,77 VB Edition Light Nicotine Pouches [Arctic Mint / 5.2mg],Nicotine Pouches,ELECTRA G22-H4  MEZ-ASTON Z2-E1  WITTON TRADE C6-D3,1.15,0,100,0,0,N,200,10,5907053720112,5907053722048,
77VBELB5-NP,77 VB Edition Bergamot Nicotine Pouches [5.2mg],Nicotine Pouches,,0.00,0,0,5,100,Y,200,10,,,
77VBEMAB10-NP,77 VB Edition Medium Nicotine Pouches [Arctic Berry / 10.4mg],Nicotine Pouches,ELECTRA G22-C12  MEZ-ASTON Z2-F1  WITTON TRADE C6-G7,1.15,56,0,24,48,N,200,10,5905591988063,5907053702934,
77VBEMAM10-NP,77 VB Edition Medium Nicotine Pouches [Arctic Mint / 10.4mg],Nicotine Pouches,ELECTRA G22-H5  MEZ-ASTON Z2-G1  WITTON TRADE C4-M1,1.14,0,100,1,1,N,200,10,5907053718232,5907053718379,
77VBEMB10-NP,77 VB Edition Medium Nicotine Pouches [Bergamot / 10.4mg],Nicotine Pouches,,1.18,89,0,5,9,Y,200,10,5907053703399,5907053701272,
77VBEMESAB20-NP,77 VB Edition Mini Extra Strong Nicotine Pouches [Arctic Berry / 20mg],Nicotine Pouches,ELECTRA G22-H6  ELECTRA G23-R2  MEZ-ASTON Z2-I1  WITTON TRADE C6-F3,1.15,147,0,25,49,N,200,10,5907053721355,5907053702910,
77VBEMESAM20-NP,77 VB Edition Mini Extra Strong Nicotine Pouches [Arctic Mint / 20mg],Nicotine Pouches,ELECTRA G22-B12  MEZ-ASTON Z2-J1  WITTON TRADE C6-I1,1.15,68,0,38,76,N,200,10,5907053721362,5907053722109,
A160GAHC-C,Alyan Angel Hair Chocolate 160g RRP £9.99 [12 pcs],Non-Vape - Confectionary,,0.00,0,0,5,100,Y,1,1,8682354006062,,
AAFRC5P045-VC,Aspire AF Replacement Coils 5 Pack [0.4 Ohm],Hardware - Coils,ELECTRA A23-A7,3.99,15,0,31,63,N,400,1,6958947182003,6958947182010,
AB600.17,Aspire BP Replacement Vape Coils (Pack of 5) [0.17 Ohm],XdeadX,,4.98,0,0,1,1,Y,1,1,6958947134606,6958947134606,
AB600.30,Aspire BP Replacement Vape Coils (Pack of 5) [0.3 Ohm],XdeadX,,4.92,0,0,1,1,Y,1,1,6958947133517,6958947133524,
AB600.60,Aspire BP Replacement Vape Coils (Pack of 5) [0.6 Ohm],XdeadX,,4.96,0,0,1,1,Y,1,1,6958947133531,6958947133548,
ABPS2-P,Aspire BP Stik Vape Pod [2ml],XdeadX,,1.05,0,0,1,1,Y,1,1,6958947167468,6958947167475,
ABPSB-VK,Aspire BP Stik Vape Pod Kit [Black],XdeadX,,10.73,0,0,1,1,Y,1,1,6958947166959,6958947166959,
ABPSBL-VK,Aspire BP Stik Vape Pod Kit [Blue],XdeadX,,10.73,0,0,1,1,Y,1,1,6958947166911,6958947166911,
ABPSG-VK,Aspire BP Stik Vape Pod Kit [Gunmetal],XdeadX,,10.73,0,0,1,1,Y,1,1,6958947166942,6958947166942,
ABPSHG-VK,Aspire BP Stik Vape Pod Kit [Hunter Green],XdeadX,,10.73,0,0,1,1,Y,1,1,6958947166935,6958947166935,
ABPSP-VK,Aspire BP Stik Vape Pod Kit [Purple],XdeadX,,10.73,0,0,1,1,Y,1,1,6958947166928,6958947166928,
ABPSR-VK,Aspire BP Stik Vape Pod Kit [Red],XdeadX,,10.73,0,0,1,1,Y,1,1,6958947166904,6958947166904,
ABPSRG-VK,Aspire BP Stik Vape Pod Kit [Rose Gold],XdeadX,,10.73,0,0,1,1,Y,1,1,6958947166898,6958947166898,
ACC0.4,Aspire Cleito Coils - 0.4 Ohm [0.4 Ohm],XdeadX,,7.13,0,0,1,1,Y,1,1,6958947123150,6958947126120,
ACRC-POS-CDU,CDU Acrylic 3-Tier (A2) - Rear loading with Removable Dividers - W 246mm x D 193mm x H 522mm - For AF Blakemore [3 Tier],POS,,47.41,0,0,1,1,N,1,1,,,
AF5BCI2010-NS,Al Fakher 5000+ 20mg Nic Salt [Black Currant Ice / 20mg],E-liquids - Nic Salts,,0.85,-2,0,1,1,Y,1,10,5061021220667,5061032892334,
AF5BCM2010-NS,Al Fakher 5000+ 20mg Nic Salt [Black Currant Mint / 20mg],E-liquids - Nic Salts,ELECTRA H18-A2,0.85,0,0,29,59,Y,1,10,5061054871256,5061054871300,
AF5BG2010-NS,Al Fakher 5000+ 20mg Nic Salt [Blueberry Gum / 20mg],E-liquids - Nic Salts,,0.85,-2,0,1,1,Y,1,10,5061021220698,5061032892365,
AF5BI2010-NS,Al Fakher 5000+ 20mg Nic Salt [Berry Ice / 20mg],E-liquids - Nic Salts,,0.85,0,0,1,1,Y,1,10,5061021220711,5061032892389,
AF5BO2010-NS,Al Fakher 5000+ 20mg Nic Salt [Blue Ocean / 20mg],E-liquids - Nic Salts,,0.85,0,0,1,1,Y,1,10,5061054871287,5061054871331,
AF5BRL2010-NS,Al Fakher 5000+ 20mg Nic Salt [Blue Razz Lemonade / 20mg],E-liquids - Nic Salts,,0.85,0,0,1,1,Y,1,10,5061021220681,5061032892358,
AF5CF2010-NS,Al Fakher 5000+ 20mg Nic Salt [Cherry Fiesta / 20mg],XdeadX,,0.85,0,0,1,1,Y,1,10,5061021220704,5061032892372,
AF5GM2010-NS,Al Fakher 5000+ 20mg Nic Salt [Grape Mint / 20mg],XdeadX,,0.85,0,0,1,1,Y,1,10,5061021220773,5061032892440,
AF5GMI2010-N,eBay | Eliquid | Al Fakher 5000 Nic Salt 10/20mg 10ml | TRADE [Gum Mint / 20 mg/ml],XdeadX,,0.00,0,0,1,1,Y,1,10,,,
AF5GMI2010-NS,Gum Mint 5000+ Nic Salt E-liquid by Al Fakher [20mg],XdeadX,,0.85,-120,0,1,1,Y,1,10,5061021220742,5061032892419,
AF5H2010-NS,Al Fakher 5000+ 20mg Nic Salt [Hubba / 20mg],E-liquids - Nic Salts,ELECTRA A22-E7,0.85,0,0,21,41,Y,1,10,5061054871270,5061054871324,
AF5LD2010-NS,Al Fakher 5000+ 20mg Nic Salt [Lucid Dream / 20mg],E-liquids - Nic Salts,ELECTRA H4-D8,0.85,-2,0,76,152,Y,1,10,5061021220766,5061032892433,
AF5LI2010-NS,Al Fakher 5000+ 20mg Nic Salt [Lush Ice / 20mg],E-liquids - Nic Salts,ELECTRA H18-A5,0.85,-1,0,25,51,Y,1,10,5061021220612,5061032892280,
AF5LL2010-NS,Al Fakher 5000+ 20mg Nic Salt [Lemon Lime / 20mg],XdeadX,,0.85,0,0,2,4,Y,1,10,5061054871249,5061054871294,
AF5LM2010-NS,Al Fakher 5000+ 20mg Nic Salt [Lemon Mint / 20mg],E-liquids - Nic Salts,ELECTRA A16-E9,0.85,2,0,107,215,Y,1,10,5061021220728,5061032892396,
AF5MI2010-NS,Al Fakher 5000+ 20mg Nic Salt [Mango Ice / 20mg],E-liquids - Nic Salts,ELECTRA A22-B7,0.85,0,0,47,93,Y,1,10,5061021220629,5061032892297,
AF5ML2010-NS,Al Fakher 5000+ 20mg Nic Salt [Magic Love / 20mg],E-liquids - Nic Salts,,0.85,0,0,1,1,Y,1,10,5061021220759,5061032892426,
AF5MP2010-NS,Al Fakher 5000+ 20mg Nic Salt [Mango Pineappple / 20mg],E-liquids - Nic Salts,,0.85,0,0,1,1,Y,1,10,5061054871263,5061054871317,
AF5PI2010-NS,Al Fakher 5000+ 20mg Nic Salt [Peach Ice / 20mg],E-liquids - Nic Salts,,0.85,0,0,5,9,Y,1,10,5061021220650,5061032892327,
AF5SP2010-NS,Al Fakher 5000+ 20mg Nic Salt [Strawberry Punch / 20mg],XdeadX,,0.85,0,0,1,1,Y,1,10,5061021220674,5061032892341,
AF5TA2010-NS,eBay | Eliquid | Al Fakher 5000 Nic Salt 10/20mg 10ml | TRADE [Two Apple / 20 mg/ml],XdeadX,,0.85,0,0,1,1,Y,1,10,5061021220636,5061032892303,
AFAF6000SBB6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Berry Blue / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054876060,5061054876091,
AFAF6000SBG6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Blueberry Gum / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054873830,5061054874035,
AFAF6000SBI6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Blackcurrant Ice / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054873816,5061054874011,
AFAF6000SBM6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Blackcurrant Mint / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054873953,5061054874158,
AFAF6000SBRL6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Blueberry Razz Lemonade / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054873823,5061054874028,
AFAF6000SCF6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Cherry Fiesta / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054873847,5061054874042,
AFAF6000SCM6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Cool Mango / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054876053,5061054876084,
AFAF6000SGM6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Grape Mint / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054873854,5061054874059,
AFAF6000SGUMM6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Gum Mint / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054873793,5061054873991,
AFAF6000SLI6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Lush Ice / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054873885,5061054874080,
AFAF6000SLL6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Lemon Lime / 6mg],XdeadX,,4.05,0,0,1,1,Y,1,10,5061054873946,5061054874141,
AFAF6000SLM6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Lemon Mint / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054873861,5061054874066,
AFAF6000SML6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Magic Love / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054873892,5061054874097,
AFAF6000SMP6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Mango Pineapple / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054873960,5061054874165,
AFAF6000SPI6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Peach Ice / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054873915,5061054874110,
AFAF6000SSD6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Space Dream / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054876077,5061054876107,
AFAF6000SSP6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Strawberry Punch / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054873922,5061054874127,
AFAF6000STA6-LBPD,Al Fakher AF6000 Supermax Legal Big Puff Disposable Vape [Two Apple / 6mg],Legal Big Puffs,,4.05,0,0,1,1,Y,1,10,5061054873939,5061054874134,
AFBSKECSKE2400CDU-POS,AF Blakemore SKE Crystal 2400 CDU [CDU],POS,,0.01,0,0,1,1,N,1,1,POS,POS,
AFCB15000HBEI20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Berry Ice],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HBG20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Blueberry Gum],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HBI20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Blackcurrant Ice],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HBLUEM20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Blue Ocean],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HBM20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Blackcurrant Mint],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HBRL20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Blueberry Razz Lemonade],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HCF20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Cherry Fiesta],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HGM20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Grape Mint],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HGUMM20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Gum Mint],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HH20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Hubba],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HLD20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Lucid Dream],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HLI20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Lush Ice],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HLL20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Lemon & Lime],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HLM20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Lemon Mint],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HMI20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Mango Ice],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HML20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Magic Love],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HMP20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Mango Pineapple],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HPI20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Peach Ice],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HSP20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Strawberry Punch],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFCB15000HTA20-LBPD,Al Fakher Crown Bar 15K Hypermax Legal Big Puff Disposable Vape [20mg / Two Apple],Legal Big Puffs,,6.00,0,0,5,100,Y,1,1,,,
AFPB-PK,Shop | Flexus Pro KIT [Black],XdeadX,,9.68,0,0,1,1,Y,1,1,6958947173438,6958947173438,
AFPEP2-P,Aspire Flexus Pro Empty Pod [2ml],Open Pods,ELECTRA B19-C15,0.90,144,0,2,4,Y,240,1,6958947174190,6958947174206,
AFPEP3-P,Aspire Flexus Pro Empty Pod [XL],XdeadX,,0.90,0,0,1,1,Y,1,1,6958947174176,6958947174183,
AFPF-PK,Shop | Flexus Pro KIT [Fuchsia],XdeadX,,9.91,0,0,1,1,Y,1,1,6958947173483,6958947173483,
AFPG-PK,Shop | Flexus Pro KIT [Green],XdeadX,,11.75,0,0,1,1,Y,1,1,6958947173421,,
AFPP-PK,Shop | Flexus Pro KIT [Pink],XdeadX,,11.75,0,0,1,1,Y,1,1,6958947173452,6958947173452,
AFPP2M06-P,Aspire Flexus Pro Pod 2 Pack [0.6 Ohm / 2ml],XdeadX,,2.28,0,0,1,1,Y,1,1,6958947174251,6958947174268,
AFPP2M12-P,Aspire Flexus Pro Pod 2 Pack [1 Ohm / 2ml],Open Pods,ELECTRA B19-C16,2.28,163,0,1,1,Y,240,1,6958947174275,6958947174282,
AFPP3M12-P,Aspire Flexus Pro Pod 2 Pack [1 Ohm / XL],XdeadX,,2.03,0,0,1,1,Y,1,1,6958947174237,76958947174244,
AFPPW-PK,Aspire Flexus Pro Pod Kit [Pearl White],XdeadX,,11.75,0,0,1,1,Y,1,1,6958947173414,6958947173414,
AGBVCC1.6,Aspire General BVC Coils [1.6 Ohm],Hardware - Coils,ELECTRA A23-D1,3.07,122,0,107,215,N,800,10,6958947110594,6958947125833,
AGBVCC1.8,Aspire General BVC Coils [1.8 Ohm],Hardware - Coils,ELECTRA A21-C6,3.07,219,0,217,433,N,800,10,6958947110600,6958947125840,
AGNBG-PK,Aspire Gotek Nano Pod Kit [Black Graffiti],Open Pod Kits,,5.21,0,0,1,1,Y,100,1,6958947182829,6958947182829,
AGNGL-PK,Aspire Gotek Nano Pod Kit [Green Letters],Open Pod Kits,,5.21,0,0,1,1,Y,100,1,6958947182812,6958947182812,
